question,faithfulness,answer_relevancy,context_recall,judge_score,rag_health_score,rag_health_label
What is AWS?,1.0,0.771484375,0.9466171264648438,0.0,0.7322,Average
What is Azure?,1.0,0.8592192530632019,0.9839118123054504,0.0,0.7616,Average
What is Google Cloud?,1.0,0.7734070420265198,0.9999999403953552,0.0,0.7434,Average
What is AWS?,1.0,0.7005661725997925,0.9612042903900146,0.0,0.7174,Average
What is Azure?,1.0,0.7739660739898682,0.9755457639694214,0.0,0.7386,Average
What is Google Cloud?,1.0,0.8113327026367188,0.9726184010505676,0.0,0.7474,Average
What is Oracle Cloud?,1.0,0.8487023115158081,0.9749476909637452,0.0,0.7572,Average
What is IBM Cloud?,1.0,0.8622170686721802,0.9799981117248536,0.0,0.7616,Average
Question 8,0.0,0.1324259042739868,0.5051653385162354,0.0,0.1341,Poor
Question 9,0.0,0.1155107840895652,0.5051653385162354,0.0,0.1299,Poor
Question 10,0.0,0.1222258359193801,0.5051653385162354,0.0,0.1316,Poor
Question 11,0.0,0.1391331702470779,0.5051653385162354,0.0,0.1358,Poor
Question 12,0.0,0.1265285909175872,0.5051653385162354,0.0,0.1327,Poor
Question 13,0.0,0.1692369878292083,0.5051653385162354,0.0,0.1433,Poor
Question 14,0.0,0.1637061238288879,0.5051653385162354,0.0,0.142,Poor
Question 15,0.0,0.1621166616678238,0.5051653385162354,0.0,0.1416,Poor
Question 16,0.0,0.1547243893146515,0.5051653385162354,0.0,0.1397,Poor
Question 17,0.0,0.1837394088506698,0.5051653385162354,0.0,0.147,Poor
Question 18,0.0,0.2202817797660827,0.5051653385162354,0.0,0.1561,Poor
Question 19,0.0,0.2035855054855346,0.5051653385162354,0.0,0.1519,Poor
