question,contexts,generated_response,ground_truth,question_length,answer_length,exact_match,bleu,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,embedding_similarity,quality_score,quality_label
What is AWS?,AWS stands for Amazon Web Services. It is a cloud computing platform.,AWS is Amazon's cloud platform.,"AWS is Amazon Web Services, a cloud computing platform.",12.0,55.0,0,0.060713336587447424,0.6666666666666667,0.3076923076923077,0.6666666666666667,0.9463489055633545,0.9117016792297363,0.9287022948265076,0.9199941754341125,0.694,Poor
What is Azure?,Microsoft Azure is a cloud platform offered by Microsoft.,Azure is Microsoft's cloud service.,Microsoft Azure is a cloud computing platform offered by Microsoft.,14.0,67.0,0,0.04625839074220484,0.5,0.14285714285714285,0.37499999999999994,0.9305940270423889,0.9031132459640503,0.916647732257843,0.9118318557739258,0.6282,Poor
What is Google Cloud?,Google Cloud Platform provides cloud computing services.,Google Cloud offers cloud services.,Google Cloud Platform provides cloud computing services.,21.0,56.0,0,0.09057365499736145,0.6666666666666666,0.2,0.6666666666666666,0.9746775031089783,0.9397062063217163,0.9568724632263184,0.8859614729881287,0.6952,Poor
What is AWS?,AWS is a cloud platform.,AWS provides cloud services.,AWS is a cloud computing platform.,,,0,0.05795053470733952,0.4,0.0,0.4,0.9407044649124146,0.9211390614509583,0.9308189153671265,0.8749288320541382,0.6275,Poor
What is Azure?,Azure is a cloud platform.,Azure provides cloud services.,Azure is a cloud computing platform.,,,0,0.05795053470733952,0.4,0.0,0.4,0.9396324157714844,0.9207713007926941,0.9301062226295471,0.878420352935791,0.6284,Poor
What is Google Cloud?,Google Cloud is a cloud platform.,Google Cloud provides cloud services.,Google Cloud is a cloud computing platform.,,,0,0.08428828344718171,0.5,0.2,0.5,0.9573155045509338,0.9376169443130493,0.9473637938499451,0.8782113790512085,0.6561,Poor
What is Oracle Cloud?,Oracle Cloud is a cloud platform.,Oracle Cloud provides cloud services.,Oracle Cloud is a cloud computing platform.,,,0,0.08428828344718171,0.5,0.2,0.5,0.9547383785247803,0.9350454211235046,0.9447892308235168,0.8997805714607239,0.6618,Poor
What is IBM Cloud?,IBM Cloud is a cloud platform.,IBM Cloud provides cloud services.,IBM Cloud is a cloud computing platform.,,,0,0.08428828344718171,0.5,0.2,0.5,0.9548976421356201,0.9344984292984009,0.9445879459381104,0.919030487537384,0.6675,Poor
Question 8,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,0.8473964929580688,0.8575609922409058,0.8524484038352966,0.38266313076019287,0.4486,Poor
Question 9,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,0.8473964929580688,0.8575609922409058,0.8524484038352966,0.38266313076019287,0.4486,Poor
Question 10,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,0.8473964929580688,0.8575609922409058,0.8524484038352966,0.38266313076019287,0.4486,Poor
Question 11,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,0.8473964929580688,0.8575609922409058,0.8524484038352966,0.38266313076019287,0.4486,Poor
Question 12,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,0.8473964929580688,0.8575609922409058,0.8524484038352966,0.38266313076019287,0.4486,Poor
Question 13,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,0.8473964929580688,0.8575609922409058,0.8524484038352966,0.38266313076019287,0.4486,Poor
Question 14,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,0.8473964929580688,0.8575609922409058,0.8524484038352966,0.38266313076019287,0.4486,Poor
Question 15,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,0.8473964929580688,0.8575609922409058,0.8524484038352966,0.38266313076019287,0.4486,Poor
Question 16,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,0.8473964929580688,0.8575609922409058,0.8524484038352966,0.38266313076019287,0.4486,Poor
Question 17,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,0.8473964929580688,0.8575609922409058,0.8524484038352966,0.38266313076019287,0.4486,Poor
Question 18,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,0.8473964929580688,0.8575609922409058,0.8524484038352966,0.38266313076019287,0.4486,Poor
Question 19,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,0.8473964929580688,0.8575609922409058,0.8524484038352966,0.38266313076019287,0.4486,Poor
