trace_id,timestamp,query,response,latency_ms,prompt_tokens,completion_tokens,total_tokens,cost_usd,faithfulness,answer_relevancy,context_recall,judge_score,quality_score
2b011156-4a15-4a5c-9005-3ad54af10b74,2026-06-20 11:24:59.594948,Query 0,Response 0,1164,531,73,604,0.0041,0.72,0.73,0.66,0.68,0.6975
4be2f9e9-acda-4c8f-ae95-f7fd73a04307,2026-06-20 11:24:59.594948,Query 1,Response 1,1555,620,84,704,0.0169,0.85,0.86,0.7,0.78,0.7975000000000001
abf436a9-52dd-4577-a89d-bb098d682770,2026-06-20 11:24:59.594948,Query 2,Response 2,2491,430,141,571,0.0109,0.66,0.92,0.65,0.93,0.79
fc256be0-324a-4253-88cf-0540d435dc96,2026-06-20 11:24:59.594948,Query 3,Response 3,767,641,163,804,0.0253,0.73,0.61,0.98,0.75,0.7675
35861e07-0619-4192-b1ff-e08793b23718,2026-06-20 11:24:59.594948,Query 4,Response 4,2269,284,237,521,0.0193,0.8,0.65,1.0,0.76,0.8025
7108cc25-c816-4c56-97c9-ca205ff6a7e0,2026-06-20 11:24:59.594948,Query 5,Response 5,1470,593,61,654,0.0081,0.95,0.75,0.61,0.96,0.8175
d7d520d0-7153-4bb7-a47f-81450667ef05,2026-06-20 11:24:59.594948,Query 6,Response 6,2388,218,60,278,0.0234,0.94,0.65,0.79,0.73,0.7775
20d6df3b-c34f-473b-886d-44f30db10b16,2026-06-20 11:24:59.594948,Query 7,Response 7,1499,505,124,629,0.0068,0.89,0.63,0.65,0.8,0.7424999999999999
b207540b-d0e2-4406-9937-517032b0d333,2026-06-20 11:24:59.594948,Query 8,Response 8,1800,132,300,432,0.0265,0.7,0.62,0.67,0.66,0.6625
07e73fea-675e-4069-9d59-9699aba6f432,2026-06-20 11:24:59.594948,Query 9,Response 9,524,759,95,854,0.0202,0.86,0.8,0.7,0.69,0.7625000000000001
cdcbbd6a-ddd1-40e2-b212-a7b3799204fa,2026-06-20 11:24:59.594948,Query 10,Response 10,2202,306,123,429,0.0193,0.9,0.71,0.9,0.86,0.8424999999999999
da5a5149-7bee-4076-ac22-3c4bd35bd9cf,2026-06-20 11:24:59.594948,Query 11,Response 11,2496,731,202,933,0.0202,0.84,0.8,0.75,0.77,0.79
0b04eced-d24f-47a0-98df-0072314eb082,2026-06-20 11:24:59.594948,Query 12,Response 12,351,271,202,473,0.02,0.62,0.93,0.9,0.96,0.8525
4b430509-c4a0-46c8-9596-37cc61a35fd8,2026-06-20 11:24:59.594948,Query 13,Response 13,2305,219,270,489,0.0024,0.85,0.61,0.74,0.97,0.7925
06f688a8-d669-4f4d-974b-d22bbb1b83a0,2026-06-20 11:24:59.594948,Query 14,Response 14,1441,548,225,773,0.014,0.63,0.67,0.9,0.92,0.78
b23fad5d-9a45-4fad-a191-1ab506dc9e83,2026-06-20 11:24:59.594948,Query 15,Response 15,427,428,234,662,0.0109,0.65,0.71,0.71,0.64,0.6775
bd4815b1-c3c7-475a-9f46-5d1a7c748f5d,2026-06-20 11:24:59.594948,Query 16,Response 16,1808,655,62,717,0.0142,0.69,0.78,0.78,0.71,0.74
24b38017-dc8d-4361-b45a-d9da1ca757ea,2026-06-20 11:24:59.594948,Query 17,Response 17,1380,388,95,483,0.0144,0.6,0.71,0.79,0.85,0.7375
767afa4d-b90b-4141-909c-030becbcabb5,2026-06-20 11:24:59.594948,Query 18,Response 18,1899,488,127,615,0.0185,0.84,0.7,0.91,0.97,0.855
0d547cde-30b7-4804-8150-a43413908594,2026-06-20 11:24:59.594948,Query 19,Response 19,1054,316,128,444,0.0021,0.63,0.77,0.77,0.71,0.72
dcbb57a5-446e-408d-8091-8510cc9db886,2026-06-20 11:24:59.594948,Query 20,Response 20,1356,645,127,772,0.0238,0.75,0.65,0.95,0.79,0.7849999999999999
16579f1b-68bd-4b6a-a37f-c4929b565dde,2026-06-20 11:24:59.594948,Query 21,Response 21,2362,413,83,496,0.0113,0.8,0.77,0.65,0.62,0.7100000000000001
