claim_id,x,y,fraud_label,kmeans_cluster,dbscan_cluster,hdbscan_cluster
CLM001,3.9766166,1.975543,0,0,0,0
CLM002,7.1945834,5.5196004,0,0,0,1
CLM003,3.4754422,1.9923061,1,0,0,0
CLM004,7.963412,5.274192,0,0,0,1
CLM005,6.8195453,3.8639781,0,0,0,1
CLM006,7.7829885,3.6338885,1,1,1,1
CLM007,7.391764,4.2625623,0,0,0,1
CLM008,6.0904975,3.8918827,1,2,0,1
CLM009,8.408858,5.8225703,1,0,0,1
CLM010,6.30866,5.116253,1,0,0,1
CLM011,7.2796125,3.301143,1,1,1,1
CLM012,8.00151,6.0625815,0,0,0,1
CLM013,3.5449681,1.402372,0,0,0,0
CLM014,6.0475254,4.34974,0,2,0,1
CLM015,7.02685,4.709114,0,0,0,1
