file_name,skills,experience,education,certifications
10554236.pdf,skills accounting; general accounting; accounts payable; program management.,"experience company name july 2011 to november 2012 accountant city , state enterprise resource planning office (ero) in this position as an accountant assigned to the defense enterprise accounting and management system (deams) ero i was responsible for identifying and resolving issues affecting the deams general ledger. i worked with teammates from the procure to pay, orders to cash, and budget to report areas to resolve daily challenges encountered with the deployment of deams to additional customers and when system change requests were promoted to production. i supported the testing of scripts, patches, and system change requests ensuring any anomalies were identified to the deams functional management office for action by the deams program management office and/or the system integrator. in addition, i served on a tiger team designed to identify and resolve general ledger posting differences and supported the development of $360b in accounting adjustments allowing for the first successful fiscal year-end close in 2012. these actions also allowed for the reconciliation and closure of fiscal year 2010 and 2011 accounting adjustments ensuring that all deams fiscal year-end requirements were completed. these actions were recognized as critical to the successful review report issued by the air force operational test and evaluation center (afotec) resulting in the air force receiving the authority to continue with the deployment of deams. company name april 2010 to june 2011 resource advisor city , state in this position as resource advisor for the 1st air communications operation squadron (1acos) i was responsible for providing financial advice and decision support to the commander. i was responsible for coordinating a $4.6m budget between four funding sources. i coordinated with usafe directorate of intelligence (usafe/a2), usafe directorate of air and space operations (usafe/a3), usafe directorate of communications (usafe/a6) and the 435th air ground operations wing to ensure 1acos meets its mission requirements. i consistently managed three separate timelines for providing budget/unfunded requirements, providing documentation and various reports in the required format for each organization. i discussed the outcome of the group and directorate budget meetings providing feedback the same day to the flight chiefs and cc any issue which affects 1acos directly. i monitored the defense travel system (dts) daily and identify orders and authorizations needing approval and provided notification to the appropriate reviewing officials and approvers. utilizing dts and the general accounting and finance system i reviewed status reports to identify anomalies in obligations and have identified those orders which require correction prior to payment. i provided government purchase card (gpc) status reports the same day they are requested and in addition, communicated with the appropriate cardholders when changes were required to support their program. i identified cardholder training requirements and monitored these requirements to ensure all required training was completed in support of this mission critical program. i developed guidance for the gpc cardholders on procedures for requesting training for the squadron and in addition i provided answers to cardholder questions on unique or non-standard issues/concerns. assumed the role of the billing official during my final rating period and completed a self inspection of the program for the management control program, zero findings. during yearly audit by 700th cons received zero findings. company name july 2008 to april 2010 staff accountant city , state in my position as the staff accountant for hq usafe i was responsible for providing accounting and financial oversight and advice to customers throughout the command in support of the usafe comptroller. i was responsible for performing ongoing analysis of financial programs to identify negative trends and weaknesses, ensured specific weaknesses were corrected, and determined whether systemic or repeat issues were identified and adequately addressed. i was required to apply a comprehensive knowledge of analysis/reporting requirements and data produced to resolve these issues. in collaboration with dfas europe, developed an automated tool that identifies duplicate obligations by comparing records in the accounting system to the contracting system and provided notification to the funds manager for review and resolution. this tool eliminated hours of manual research and results allowed hq usafe to deobligate over $5m in duplicate obligations. i was responsible for establishing various performance metrics which ensured effective and efficient use of usafe financial resources. i supported the usafe/fma financial metrics program by collaborating with dfas limestone in the development of an automated tool that provided senior leaders with visibility to any usafe unit that is not in compliance with the established rules and regulations related to the gpc. this tool provides management reports that are used to populate the monthly metric charts which are briefed by the usafe/fma. this tool provided the capability for usafe/fma to collaborate with usafe contracting and develop/deploy joint guidance that supports the established air force instruction mandating card suspension for card holders who are not in compliance with required reservation of funds in the entitlement system in support of the gpc. i identified and resolved a problem with five gpc accounts that had been rejecting during the automated interface process each month. my research revealed that these accounts were rejecting for invalid paying station and required manual intervention by both wing and dfas personnel. this not only created rework, it delayed the payment of the invoices. i partnered with dfas denver, corrected the records in the access on-line accounts eliminating the error condition. i identified a method to deliver one-on-one training in support of the usafe deployment of the open document analysis (oda) tool in fmsuite. by utilizing defense connect online i provided training remotely, virtually eliminating the need to expend funds on temporary duty (tdy) travel. the results of this training produced results that went well above expectations and were noted by the oda program management office. company name january 2007 to july 2009 chief, reports branch. accounts maintenance and control city , state in my position as chief of the reports branch in accounts maintenance & control (am&c) i was responsible for ensuring the development and standardization of various managerial and system reports. i was responsible for the completeness and accuracy of weekly, monthly, quarterly, semi-annual, and annual reports. my branch monitored errors in the general accounting and finance system (gafs/bq) and ensured corrective actions were accomplished. i also ensured fund balances were reconciled and reports were verified prior to release to base activities and higher headquarters. limestone reorganized under the high performing organization (hpo) in january 2007 and at that time i was reassigned to am&c, a directorate which previously did not exist. my challenge during that time was to staff my branch, implement an aggressive training schedule, and ensure the continuity of financial reporting was maintained. as we transitioned into the hpo we continued defining the missions and functions for am&c for the entire network. i participated in biweekly conference calls with standards and compliance in an effort to define missions and functions for am&c. worked with management in determining ftes needed for the branch. i was responsible for developing meaningful performance standards for my employees since this branch and its functions did not previously exist. limestone poc for an initiative to eliminate suspense accounts throughout the agency. identified suspense accounts not initially targeted, formulated strategies to eliminate accounts or requested waivers, and participated in plans to modify processes using suspense accounts, such as the interfund suspense account. these actions provided initial progress towards meeting the department of treasury's mandate to discontinue suspense accounts by february 2009. worked with staff to reduce reconciliations from $6.9 million in february 2007 to $1.1 million in august, accomplished this despite loss in experienced personnel and realigning resources to support critical initiatives in accounts payable. i orchestrated the transition of reporting requirements for the transportation financial management system (tfms) workload from dfas omaha to limestone. after transition to limestone encouraged staff responsible for these reports to streamline the processes. staff automated a completely manual, time consuming process, thus eliminating potential key stroke errors and manually validating numerous spreadsheets and listings. contributor to federal managers financial integrity act (fmfia) compliance review and establishment of assessable units. identified inconsistencies in information provided by staff on foreign currency fluctuation adjustments. persisted in getting higher level review of regulatory and policy guidance. report of foreign currency fluctuation is now consistently accurate. company name february 2000 to january 2007 chief, accounts payable branch city , state as chief of accounts payable i was responsible for the overall management of a branch consisting of over 120 employees. my four first line supervisors were responsible for establishing priorities, schedules, and work assignments ensuring changes in workload are accounted for to minimize the impact on normal office operations. we consistently reviewed these areas and made necessary personnel moves based on shifting priorities. this was extremely important during the dfas denver directed database consolidations and with the assumption of the air national guard workload. workload increased rapidly while staffing increased gradually, which dictated frequent priority changes and personnel moves. i also worked closely with the major commands supported by dfas limestone strengthening our partnership when workload spikes negatively impacted our customers. in december 2004, our overaged invoice percentage was nearing 25% and we had a backlog of vendor pay documents exceeding 30,000. by working with the dfas command client executives and the major command comptrollers, i was instrumental in forming a strategy that included soliciting air force personnel assistance in document processing, identification of ""must pay now"" bills, and the formation of special action response teams dedicated to responding to our customer's most urgent requirements. as a result of these efforts, in a three month period, we were able to reduce our overaged invoice percentage by 19% and our backlog of documents to no documents over 20 days old thereby minimizing the adverse impact on customer funds. i was responsible for providing personnel feedback sessions quarterly and prepared supervisory appraisals of employees' performance and potential for advancement. partnering with the management staff and employees, i was instrumental in establishing employee performance plans that linked employee performance to established dfas strategies and balance scorecard goals. in this position as a supervisory accountant i was responsible for performing ongoing analysis of the vendor pay workflow and production to identify negative trends and weaknesses, ensure specific weaknesses have been corrected, and determine whether systemic or repeat issues have been identified and adequately addressed. i was required to apply a comprehensive knowledge of analysis/reporting requirements, work processes, vendor pay system structures, and data produced to resolve these issues. utilizing my expertise with louis ii data retrieval software, i produced ad-hoc data queries for in-house and external use by our customers. these retrievals were designed to reduce the man- hours necessary to perform complex finance and accounting functions by dfas and air force personnel. i was responsible for the budget resources necessary to operate the branch. in this capacity, i prepared budget over execution justifications, plan and monitor overtime costs, and control supply purchases to ensure the most cost efficient operation possible. i was required to respond to inquiries from various sources, which include, but are not limited to, vendors, dfas management, accounting liaison offices, resource advisors, and other dfas field sites. these inquiries required my ability to relay technical aspects of systems deficiencies to customers who are not familiar with our operation. i participated in video teleconferences, conference calls, and briefings designed to address customer and dfas management requirements. i was called upon to explain, in laymen's terms, dfas policy and procedures with regards to delays in payment due to various reasons. i responded to various audit reports and studies; ensuring senior management and audit personnel, understand particular situations within the vendor pay business process that result in these findings. company name february 1999 to february 2000 chief, recon and reports branch city , state in my position as chief, vendor pay reports and recon branch, i exercised supervision (either directly or indirectly) over 22 employees primarily in the ""525"" series in grades ranging from gs-5 through gs-8. this responsibility also included supervision of the german local national workers assigned to my duty section. i was responsible for planning, directing, and supervising the activities of the work force in the review, interpretation, processing, and reconciliation of vendor pay and accounting data and the production of timely and accurate financial statement report requirements. i participated in the development of branch policies continually reviewing and evaluating the organizational operations, work distribution, and procedures. i coordinated the activities of the assigned functions with those of other organizations to obtain the most effective correlation of financial data. directed and provided technical guidance to subordinates in the assigned area. assured the timeliness and accuracy of assigned workload. planned, organized, directed, coordinated, and reviewed the work of subordinate's sections ensuring the mission and functions of the division were carried out. i managed and realigned resources, conducted program analyses, and made decisions in accordance with unit cost principles, outputs, targets, and changing budgetary constraints. i participated in long range planning, goal setting, and evaluating the subordinate staff. interpreted and clarified branch policies and resolved operational problems. ensured efficient utilization and professional development of my staff. i was expected to provide reasonable assurance that operations were conducted in compliance with applicable laws and that funds, property, and other assets were safeguarded against waste, loss, unauthorized use, or misappropriation. i ensured continuing and affirmative application and support of dod and dfas policy concerning the equal opportunity and affirmative action programs. ensured personnel management within organizational entity under my supervision was accomplished without regard to race, color, religion, sex, age, national origin, or handicap. i kept abreast of developments, policy issuance, and other similar material in the equal opportunity field and fully supported the dod and dfas equal opportunity program. i was responsible and accountable for the safety and health of my subordinates. i ensured personnel were trained to work safely. i enforced safety and health rules, corrected unsafe or unhealthy acts and unsafe or unhealthy mechanical or physical conditions, investigated mishaps and tool other actions necessary to ensure the safety and health of my employees. company name june 1995 to february 1999 chief, accounts payable branch city , state i was responsible for establishing priorities, schedules, and work assignments ensuring changes in workload are accounted for to minimize the impact on normal office operations. this was important during the dfas denver directed workload realighment to the field sites servicing our customers by major command. workload increased which dictated frequent priority changes and personnel moves. i also worked closely with the major commands supported by dfas limestone strengthening our partnership when workload spikes negatively impacted our customers. i was responsible for providing personnel feedback sessions quarterly and preparedsupervisory appraisals of employees' performance and potential for advancement. as a supervisory accountant i was responsible for performing ongoing analysis of the vendor pay workflow and production. i identified negative trends and weaknesses, ensured specific weaknesses were corrected, and determine whether systemic or repeat issues were identified and adequately addressed. i was required to apply a comprehensive knowledge of analysis/reporting requirements, work processes, vendor pay system structures, and data produced to resolve these issues. utilizing my knowledge with louis ii data retrieval software, i produced ad-hoc data queries for in-house and external use by our customers. these retrievals are all designed to reduce the man- hours necessary to perform complex finance and accounting functions by dfas and air force personnel. i was responsible for the budget resources necessary to operate the branch. in this capacity, i prepared budget over execution justifications, plan and monitor overtime costs, and control supply purchases to ensure the most cost efficient operation possible. i was required to respond to inquiries from various sources, which include, but are not limited to, vendors, dfas management, accounting liaison offices, resource advisors, and other dfas field sites. these inquiries require my ability to relay technical aspects of systems deficiencies to customers who are not familiar with our operation. i participated in video teleconferences, conference calls, and briefings designed to address customer and dfas management requirements. i was often called upon to explain, in laymen's terms, dfas policy and procedures with regards to delays in payment due to various reasons. i was required to respond to various audit reports and studies; ensuring senior management and audit personnel, understand particular situations within the vendor pay business process that result in these findings. i was hand selected by the field site director and vendor pay site manager to represent dfas limestone on a team comprised of representatives from all dfas denver field sites to provide training to our air force base level resource advisors. during a five week period, i provided ""boot camp"" training to over 400 base level personnel ensuring resource advisors were familiar with the dfas structure and mission requirements related to funds management. company name june 1994 to june 1995 accountant, network assistant team city , state as a member of the network assistance team, i was required to have an extensive working knowledge of dod accounting systems, theory, policy, and procedures. i was consistently called upon to develop and implement procedures consistent with dod regulations. coordinated with dfas denver and the omaha field site on the consolidation of the first geographically separated defense accounting office into dfas. in my position as a member of the network assistance team i was required, upon arrival at each base level defense accounting office (dao) to provide an in-brief. this briefing identified team members, the purpose of the visit, goals, and responsibilities. upon completion of the assignment, provided a written and oral out-brief outlining the team accomplishments during the visit. i provided recommendations to preclude recurring problems and to prepare the organization for consolidation. company name june 1993 to june 1994 supervisor, accounts control branch city , state i directed/supervised the accomplishment of all financial reports and statements. i directed/supervised the accomplishment of all financial reports and statements. i was responsible for the completeness and accuracy of weekly, monthly, quarterly, semi-annual, and annual reports. monitored errors in the general accounting and finance system (gafs/bq) and ensured corrective actions were accomplished. i also ensured fund balances were reconciled to the appropriate audit listings and verified reports prior to release to base activities and higher headquarters. i furnished accounting data to base organizations often interpreting and analyzing the data to help funds managers resolve problems and manage their programs more effectively. i attended major command (majcom) and headquarters level workshops to participate and contribute to accounting policy and system changes. i provided professional assistance to data automation relevant to processing of accounting and finance data, interpreting deficiencies in software based on output products and system related problems. i utilized my working knowledge of commercial and government accounting system principles and knowledge of processing centers (pcs) to review, verify, analyze, and evaluate accounting and finance operations. while serving as chief, account control i ensured areas of concern were addressed, concentrating on problem areas related to the database. i analyzed computer output products to determine processing deficiencies. they included, but were not limited to, the open document listing (odl), operating budget ledger (obl), allotment ledger (al), and the accounting and finance workload information management system (a&f wims) extract list. i provided technical assistance related to policy and procedural. changes required as a result of the impending base closure. analyzed/developed and recommended improved training procedures enabling better use of system procedures ensuring governing directives were followed. i evaluated accuracy of accounting records prior to fiscal year closeout ensuring the accounting and finance officer could certify their accuracy as required by regulation. examined accounting transactions and documents to ensure they conformed to established accounting policy and principles. coordinated and directed fiscal year end conversion for the gafs and integrated accounts payable system (iaps).","education northern maine community college 1994 associate : accounting city , state , usa emphasis in business 1994 associates : accounting city , state , usa gpa: gpa: 3.41 accounting gpa: 3.41 174 hours, quarter attended husson college, major accounting 78 semester hours toward bachelors degree. professional military comptroller school, 6wk, 4-98; managerial accounting i, 09-98; interested-based bargaining training for management, 24hrs, 09-01; auditing methods and concepts 09-98; organizational leadership, 32hrs, 07-03; management development ii, 32hrs, 07-03.","certifications certified defense financial manager, cdfm, may 2005 interests american society of military comptrollers additional information"
10674770.pdf,skills. highlights dba quick books mas - sage software microsoft excel adp drive microsoft access condo manager microsoft word,"experience staff accountant january 2014 to october 2014 company name ï¼​ city , state performed all month end functions to produce financial statements. the functions include: reconciliation of the operating and payroll bank accounts, recorded sales for the month, recorded payroll journals, accrued payroll, recorded sales tax, submitted sales tax to nc department of revenue, recorded inventory adjustments, and recorded balance sheet month end entries. entered all payables and receivables for the 7 franchise locations. worked with vendors to resolve any situations that arose. reviewed and maintained that all needed franchise document were on file and up to date. worked directly with controller on year-end review. assembled all requested financial and legal documentation that was put into presentable formats. maintained weekly spreadsheet on collected franchise royalties and advertising fees. this spreadsheet is used for the year-end audit. managed a company that owned and rented out 12 commercial properties of a shopping center to approved businesses. responsible for: negotiating rent rates for new or renewing tenants, writing leases, collecting rent, cash flow management, payables, and resolving any tenant complaints or inquires. managed a company that was a small farming entity. responsible for maintaining cash flow, all payables, and setting up credit accounts with vendors. entered all payroll journals and maintained cash flow for company that employed labor to work at farming entity. filed north carolina annual report for all companies managed by cary keisler inc. and verified that all were current on their filings. staff accountant march 2013 to january 2014 company name ï¼​ city , state collect daily deposits for newly entered sos as well the balance for any so that has completed once a job status report has been ran. interact directly with customers on outstanding deposits and balances due. responsible for all po and non po payable entry/coding for all companies. work directly with vendors to resolve and discrepancy with payables. pull weekly-unpaid bills reports that are used for cash flow projections. complete weekly check run for all companies. reconcile monthly purchasing american express credit card that ranges from $60,000.00 - $100,000.00+. helped facilitate roll of purchasing manager during turnover period from september 2013 - december 2013. responsible for ordering needed materials/supplies for factory production floor. worked directly with vp of finance and members of the production floor in collection of data to develop unit valuation. this information combined with continued data collection is being used for future bills of materials and job costing. staff accountant april 2012 to march 2013 company name ï¼​ state lead reconciliation of balance sheet to ensure no discrepancy with general ledger. research and resolve any transaction deviating from ordinary operations. run project cost reconciliation at month end to ensure all billable expenses are posted to a project. this ensures all enries are posted to the correct project and general ledger account. this provides billing information as well as the correct bottom line for each project. design excel spreadsheet for prepaid employee benefits for eom reconciliation purposes. reconcile american express accounts for sdi and battleware. 10 accounts) responsible for all entry and custodial book keeping of sdi's fixed assets for depreciation purposes. daily reconciliation sdi's operating, interest sweep, and line of credit accounts for most accurate cash projections. responsible for coding and entry of all payables items for sdi and battleware. prepare monthly sales and use tax. financial management partner july 2010 to august 2011 company name ï¼​ city , state identified, reported, tracked, and resolved subsidiary ledger discrepancies in all phases of the revenues and receivables accounting processes. provide an end to end financial statement assurance and accurate presentation by aiding and completing tasks in all areas of operations; performing all monthly bank reconciliations, applying all required financial regulations in preparing and delivery of financial statements. provided support to clients and other employees via email on implementations, software support, and financial reporting issues in all aspects of day-to-day operations. trained new accounting department employees with functionality demonstration to assist in proficient accounting support and software transitioning i.e. quickbooks, peachtree and excel transitioning. able to perform duties of all departments of accounting including accounts payable, accounts receivable, legal coordination and transactional audit and review. coordinate lien and foreclosure preparations, research ownership status and balance histories in order to accurately file legal claims on behalf of our cliental. constant analysis of all clients' interim financial reports and comparative statements to verify the validity and monitor for inconsistency. prepare variance reports and explanations to quickly summarize areas of increased variances in expenses. assist other areas of management in fund accounting budget preparations and presentation at annual and monthly board meetings. coordinate and prepare materials for audits, review, and tax returns. assist in annual budget preparations, prepare billings for all cycles, perform all adjusting month end transactions and required g/l posting entries required to correct errors or balance discrepancies. interests alpha sigma phi: officer and chair positions january 2006- may 2010 vice president social chair greek week delegate livestrong foundation: bike-a-thon skills accounting, accounts payable, accounts receivable, adp, advertising, ar, balance sheet, balance, bank reconciliations, benefits, billing, billings, book keeping, budget, cash flow projections, cash flow, controller, credit, clients, data collection, delivery, documentation, email, finance, financial, financial reporting, financial statements, fixed assets, general ledger, inventory, job costing, ledger, legal, materials, meetings, microsoft access, microsoft excel, excel, microsoft word, negotiating, dba, payables, payroll, peachtree, processes, coding, purchasing, express, quick books, quickbooks, research, sage, sales, spreadsheet, tax, software support, valuation, year-end additional information activities: alpha sigma phi: officer and chair positions january 2006- may 2010 vice president social chair greek week delegate livestrong foundation: bike-a-thon","education bachelor of science : accounting , may 2010 university of north carolina ï¼​ city , state accounting bachelor of science : business administration finance , may 2010 business administration finance",
11163645.pdf,skills and attributes. attributes self-motivated and honest; good work ethic effective working alone or as a cooperative team member reliable and hard-working; thorough in completing projects committed to excellent customer service core qualifications intermediate word advanced excel powerpoint intermediate access accounts receivable accounts payable quickbooks enterprise outlook customer service,"experience accountant january 2011 to november 2015 company name ï¼​ city , state processed accounts receivables payments received by ach, lockbox, credit card and checks. maintained all banking activity. documented all loan and other payments to the proper g/l accounts. review and maintain all positive pay processing with the bank. review and processed accounts payables reports. processed all accounts payables by check, domestic and international wires, ach, and credit card. reconcile all bank statements. maintained all credit card activity for all credit card holders, documented transactions to the proper g/l accounts. calculate and process all sales quarterly commission reports. review and complete all credit checks and reference checks on new customers. maintain and file the quarterly reports for the job development credit with the state of south carolina. order passports and visa's for international travel. accounts receivable clerk january 2008 to january 2010 company name ï¼​ city , state performed data entry. processed accounts receivable payments. reconciled delivery driver's cash and checks with daily invoices. corresponded with customers through email and phone calls on overdue invoices. sent bi-weekly and monthly statements. created and maintained monthly inventory depletion and sales reports to suppliers. balanced and solved problems with customer's accounts. filed customer and suppliers invoices. ran daily trial balance. ran the end of day closing reports. mortgage underwriter january 2006 to january 2008 company name ï¼​ city , state processed new residential mortgage loan submissions. provided clear and consistent written and verbal communications with customers/clients. provided a strong analytical aptitude for reviewing credit reports, bank statements, preliminary title reports and appraisals. corresponded with customers, loan officers, and account managers for information needed. commercial auto underwriter january 2004 to january 2006 company name ï¼​ city , state processed new business commercial auto applications and issued endorsements. performed data entry, reviewed applications, loss runs and driving records. provided clear and consistent written and verbal communications with customers/brokers. gail l. lugo 864-472-7092. personal auto underwriter january 2001 to january 2004 company name ï¼​ city , state processed new business, renewals and endorsements. performed data entry, reviewed applications, loss runs and driving records. processed account receivable premium checks for insurance premiums. consistently resolved and answered customer concerns and questions by properly and promptly reviewing policies, endorsements and premium payments. claims examiner january 1983 to january 2001 company name ï¼​ city , state trained coworkers on multiple tasks and administrative functions. reviewed medical records and made decisions regarding disability payments. performed data entry. created, designed and maintained various insurance documents which complied with truth and lending regulations. responded to and resolved all customer inquiries via telecommunications and written correspondence. developed and maintained measures of self-directed team performance which improved workflow. consistently exceeded company goal of required number of paid claims per hour. performed journal entries and ledger postings. reconciled bank statements, budget accounts, and accounts receivable/payable records. rapidly promoted from level i to level iii within a one-year period due to excellent work performance.","education computer applications specialist certificate program : 2008 martinez adult education, business training center ï¼​ city , state skills accounts payables, accounts receivables, accounts payable, accounts receivable, administrative functions, trial balance, banking, budget, bi, closing, computer applications, credit, clients, customer service, data entry, delivery, driving, email, insurance, inventory, ledger, access, excel, outlook, powerpoint, word, mortgage loan, enterprise, policies, quickbooks, sales, sales reports, telecommunications, phone, workflow, written",
11759079.pdf,"skills by drafting over forty memorandums that summarized potential fraud in loans that were presented to multiple agencies of the government. wrote a thirty-five page corporate intelligence narrative explaining personal and professional relationships of an individual under investigation. these tasks assisted the fbi in arresting the individual, suspected of orchestrating a two billion dollar mortgage fraud scheme. performed substantive test work, analytical procedures, and testing of controls at multiple audit clients, including leading the sales and inventory test work of an international company with approximately one billion in annual sales. audited cash, receivables, investments, inventory, payables, property, debt, equity, revenue, cost of goods sold, and expenses. analyzed audit client's major accounting processes, identified control weaknesses, and recommended solutions and improvements. worked on multiple phases, including fraud investigations and data analytics, of a high profile engagement involving the largest natural disaster relief fund in united states history and was the first to analyze, discuss, and research a series of fraud allegations received from an anonymous telephone hotline that lead to a new, lasting client relationship with the federal government. analyzed a series of bank accounts owned by over twenty customers of a large, domestic bank to determine the amount of funds stolen and trace illicit transfers made by a bank employee from each account in a multi-million dollar fraud scheme. august 2006 to may 2007 accounting tutor sole proprietorship city , state held private sessions to teach financial accounting to over 25 individual client needs and wrote practice questions which resulted in grade improvement amongst all clients, including one who increased his exam performance by 35 percentage points after sessions.","experience company name june 2011 to current senior accountant city , state prepare quarterly and annual financial statements for 17 multi-family communities for distribution to investors and financial institutions. reconcile and account for all activity on the income statement and balance sheet including cash, fixed assets, derivatives, equity, and property debt. coordinate and review work of external audit firms. initiate capital calls and distributions for investors. manage budgets and construction loan activity for approximately $100,000,000 in active construction projects in fl, ma, and md. company name march 2010 to june 2011 associate fund controller city , state performed quarterly and annual close procedures for msref (morgan stanley real estate funds) 6i, the largest international real estate investment fund to date with $8 billion of partnership assets, and draft financial statements distributed directly to fund investors. lead quarterly management fee process by performing work to draft approximately $14,000,000 in bills to fund partners. develop work plan to ensure deadlines are met, test results, delegate work to other fund controllers, and perform detailed review of their work. lead msref 6i initiative to implement reinvestment of proceeds (rop) methodology to reallocate approximately $120,000,000 in cash to-date amongst investments with deficient cash balances to cover contributions and expenses. write formulas to analyze cash movement in microsoft excel and assist four information technology vice presidents in programming the partner capital sub ledger system to calculate the movement and test results. wrote standard operating procedures memo for rop to train team members. company name june 2007 to march 2010 advisory, forensic and audit associate city , state performed research to locate red flags in numerous potential fraudulent mortgages at one of the largest bank failures in u.s. history. developed writing","education emory university, goizueta business school 5 2007 bachelor of business administration : accounting city , state gpa: gpa: 3.63/4.0 gpa: 3.77/4.0 accounting gpa: 3.63/4.0 gpa: 3.77/4.0 interests fulton county casa board of directors member, treasurer. plan fund raisers, review budget and financial statements, and supervise casa staff in not-for-profit organization that trains volunteers to mentor children being pulled from their homes through the fulton county court system for abuse and neglect. cpa, hold an active georgia license and scored between 87 and 93 out of a possible 99 on each of the four sections of the cpa exam. cfe, certified fraud examiner, which skills accounting, balance sheet, budgets, client, clients, derivatives, drafting, equity, financial, financial accounting, financial statements, fixed assets, funds, government, information technology, inventory, investments, ledger, ma, microsoft excel, natural, page, payables, processes, programming, real estate, research, sales, scheme, telephone, writing skills additional information community service,","certifications and awards fulton county casa board of directors member, treasurer. plan fund raisers, review budget and financial statements, and supervise casa staff in not-for-profit organization that trains volunteers to mentor children being pulled from their homes through the fulton county court system for abuse and neglect. cpa, hold an active georgia license and scored between 87 and 93 out of a possible 99 on each of the four sections of the cpa exam. cfe, certified fraud examiner, which requires passing four exams and two years work experience in preventing and detecting fraud. recipient, 2007 john r. jones accounting award. given annually by vote of emory university professors to recognize the top performing senior year student in academia, community involvement, and character. recipient, 2006 ben pius award. awarded by emory professors to recognize exceptional achievements by the highest performing junior year accounting student at emory university."
12065211.pdf,"skills aderant/cms financial reporting excel us gaap principles quickbooks pro ifrs sql bookkeeping accessâ budget development peachtree individual tax returns hyperion essbase work history senior accountant mar 2006 - current company name city , state reconcile various balance sheet accounts not limited to cash and liability accounts, including bank statements, for the purpose of maintaining the accuracy of the general ledger in accordance with cash, gaap, and various international tax legislative basis. perform the primary liaison function for the interim and annual audits performed by deloitte.â perform assigned schedules for interim and annual audits.â assist auditors with understanding of firm's internal controls which include revenue and expenditure cycle. â review and analyze journal entries from the original accounting source and if a variance from the general ledger is found, initiate discussions with specialists in accounts receivable, accounts payable, payroll, and tax department to resolve the discrepancy. review and analyze international payrolls inâ aspect of income tax, local tax, consumption tax, and fringe benefit deductions for seoul, shanghai, and tokyo office and upload into aderant/cms for posting into the general ledger. analyze and reconcileâ value added tax for vienna and seoul office resolve currency fluctuation issues and record gains/losses related to currency exchange rates for the international offices of the firm by using currency mode journal entries. analyze expatriate expenditures on monthly basis to be reported on w-2 form. prepare initial k-1 schedules to be filed by tax department prepare month-end various accrual journal entries including base wage, bonus, occupancy, prepaid property insurance, telecommunications, and catering accruals. prepare and analyze expense allocations from firm general to local offices on a monthly basis. review and analyze inter-company transactions for seoul, shanghai, tokyo, and vienna office prepare monthly financial statements, which are shared with the partners and management of the firm. assist in translation of various fixed asset invoices from seoul and tokyo office and other asian offices' travel expense reports. notable accomplishments: found material misstatement in prepaid property insurance for the first quarter of '08 and made prospective adjustments to the related general ledger accounts. provided clarity in japanese payroll systems associated with health, welfare, and childcare allowance to the management and made prospective adjustments to the related general ledger accounts. accountant jan 2005 - mar 2006 company name city , state maintain financial records in accordance with gaap to be reported to a parent company and investors. analyze & reconcile g/l accounts and prepare semi-annual, and end year b/s, i/s, and statement of cash flows coordinate with warehouse manager to ensure daily shipping schedules. communicate with outside company's designated cpas when tax issues arise. establish master employee payroll record file for information entry into payroll system. receive & compute hours, make deductions for 401k, health insurance, and other adjustments thru paychex prepare loan applications and maintain factoring arrangements with a/r schedule. assist in training, guidance and coordination of accounts payable, accounts receivable, and other departments and site personnel. performed semi-annual inventory valuation. financial analyst aug 2002 - jan 2005 company name city , state manage and forecast funds for palm desert national bank sponsored 350 atm terminals averaging 2.5 million on a weekly basis. reconcile & settle, and act as lead accountant for innobeta systems, inc., (affiliate of money marketing, inc.). prepare monthly profit and loss reports as to surcharge and interchange. analyze communication and armor carrier expenses as a temporary m&a team member during due diligence procedure of atm world corp. analyze processing costs and network fees in terms of efts. prepare audit work papers, confirmations and other documentation to make the audit efficient and hold on audit fees in connection with annual audit. perform analysis of general ledger accounts; prepared journal entries and adjustments to facilitate closings. assist in the preparation of full financial statements and footnotes for investors and lenders. review work of staff and operations to assure that certain daily procedures and reconciliations were performed routinely according to policies and procedures. translate and prepare documents pertaining to defective parts of comnet atm series assembled and distributed by nextran industries, a subsidiary company of chungho comnet co., ltd. consult private investors and customer services.",experience in full life cycle of general ledger accounting,"education bachelor of business administration : accounting august 2002 temple university city , state accounting audit project: ""identifying potential risks that would impact the audit of xerox corp."" select courses: advance accounting, accounting information system, auditing & assurance services, taxation interests world travel/photography/golf/soccer/movie/fashion","certifications certified public accountant, new york state, date of issued: 03/04/2015, license number: 117205 additional information activities: vice president, aps (accounting professional society) at temple university, 2001 - 2002"
