claim_id,mechanic,clinic,lawyer
CLM001,Rapid Auto Repair,Care First Clinic,Smith & Associates
CLM002,Rapid Auto Repair,Wellness Recovery Center,Anderson Legal
CLM003,Rapid Auto Repair,Care First Clinic,Justice Partners
CLM004,Rapid Auto Repair,Wellness Recovery Center,Justice Partners
CLM005,Prime Vehicle Repair,Wellness Recovery Center,Smith & Associates
CLM006,Prime Vehicle Repair,Metro Injury Clinic,Smith & Associates
CLM007,Rapid Auto Repair,Care First Clinic,Premier Injury Law
CLM008,Rapid Auto Repair,Metro Injury Clinic,Premier Injury Law
CLM009,Rapid Auto Repair,Metro Injury Clinic,Premier Injury Law
CLM010,Rapid Auto Repair,Metro Injury Clinic,Premier Injury Law
CLM011,Rapid Auto Repair,Advanced Spine Center,Anderson Legal
CLM012,Metro Auto Works,Advanced Spine Center,Smith & Associates
CLM013,Metro Auto Works,Care First Clinic,Accident Recovery Group
CLM014,Elite Collision Center,Advanced Spine Center,Premier Injury Law
CLM015,Trusted Auto Garage,Advanced Spine Center,Smith & Associates
