question,contexts,generated_response,ground_truth,question_length,answer_length,exact_match,bleu,rouge1,rouge2,rougeL,quality
What is AWS?,AWS stands for Amazon Web Services. It is a cloud computing platform.,AWS is Amazon's cloud platform.,"AWS is Amazon Web Services, a cloud computing platform.",12.0,55.0,0,0.060713336587447424,0.6666666666666667,0.3076923076923077,0.6666666666666667,Good
What is Azure?,Microsoft Azure is a cloud platform offered by Microsoft.,Azure is Microsoft's cloud service.,Microsoft Azure is a cloud computing platform offered by Microsoft.,14.0,67.0,0,0.04625839074220484,0.5,0.14285714285714285,0.37499999999999994,Poor
What is Google Cloud?,Google Cloud Platform provides cloud computing services.,Google Cloud offers cloud services.,Google Cloud Platform provides cloud computing services.,21.0,56.0,0,0.09057365499736145,0.6666666666666666,0.2,0.6666666666666666,Good
What is AWS?,AWS is a cloud platform.,AWS provides cloud services.,AWS is a cloud computing platform.,,,0,0.05795053470733952,0.4,0.0,0.4,Average
What is Azure?,Azure is a cloud platform.,Azure provides cloud services.,Azure is a cloud computing platform.,,,0,0.05795053470733952,0.4,0.0,0.4,Average
What is Google Cloud?,Google Cloud is a cloud platform.,Google Cloud provides cloud services.,Google Cloud is a cloud computing platform.,,,0,0.08428828344718171,0.5,0.2,0.5,Average
What is Oracle Cloud?,Oracle Cloud is a cloud platform.,Oracle Cloud provides cloud services.,Oracle Cloud is a cloud computing platform.,,,0,0.08428828344718171,0.5,0.2,0.5,Average
What is IBM Cloud?,IBM Cloud is a cloud platform.,IBM Cloud provides cloud services.,IBM Cloud is a cloud computing platform.,,,0,0.08428828344718171,0.5,0.2,0.5,Average
Question 8,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,Poor
Question 9,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,Poor
Question 10,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,Poor
Question 11,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,Poor
Question 12,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,Poor
Question 13,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,Poor
Question 14,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,Poor
Question 15,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,Poor
Question 16,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,Poor
Question 17,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,Poor
Question 18,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,Poor
Question 19,Sample context,Sample generated response,Sample ground truth,,,0,0.11362193664674995,0.3333333333333333,0.0,0.3333333333333333,Poor
