quarter,best_macro_event,similarity_score,macro_risk_score
2023-Q1,High Inflation Environment,0.5839044,0.5839044
2023-Q2,Currency Volatility Event,0.62403524,0.62403524
2023-Q3,Regulatory Pressure Cycle,0.5652323,0.5652323
2023-Q4,Interest Rate Shock,0.49971616,0.49971616
2024-Q1,COVID Supply Chain Crisis,0.38106418,0.38106418
2024-Q2,High Inflation Environment,0.54165673,0.54165673
2024-Q3,Regulatory Pressure Cycle,0.31296617,0.31296617
2024-Q4,COVID Supply Chain Crisis,0.42179334,0.42179334
2025-Q1,COVID Supply Chain Crisis,0.5845183,0.5845183
2025-Q2,Interest Rate Shock,0.51410824,0.51410824
2025-Q3,Currency Volatility Event,0.52356476,0.52356476
2025-Q4,High Inflation Environment,0.44562083,0.44562083
