query,quarter,distance
revenue growth,2023-Q4,0.9139854311943054
revenue growth,2023-Q1,0.970893144607544
revenue growth,2023-Q2,1.003675937652588
supply chain risk,2023-Q3,1.1570162773132324
supply chain risk,2023-Q1,1.2618662118911743
supply chain risk,2024-Q3,1.400431513786316
inflation pressure,2023-Q1,1.3643407821655273
inflation pressure,2023-Q2,1.512852668762207
inflation pressure,2025-Q1,1.5875558853149414
future guidance,2024-Q4,1.2593203783035278
future guidance,2024-Q2,1.370363473892212
future guidance,2023-Q4,1.3769917488098145
profitability improvement,2023-Q4,0.9397589564323425
profitability improvement,2023-Q3,0.9596089720726013
profitability improvement,2025-Q3,1.0189180374145508
