quarter,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4
2023-Q1,1.0000001,0.7472525,0.7844285,0.74065256,0.6114465,0.5934106,0.6424001,0.6072396,0.6606658,0.51573014,0.60310835,0.41867304
2023-Q2,0.7472525,0.9999999,0.7432711,0.7816659,0.7415622,0.71368366,0.6672476,0.704513,0.7549184,0.60895437,0.672072,0.4823147
2023-Q3,0.7844285,0.7432711,1.0000002,0.7305943,0.61451805,0.70291877,0.7360753,0.663904,0.6554378,0.6080425,0.6971875,0.4740474
2023-Q4,0.74065256,0.7816659,0.7305943,1.0000001,0.68722904,0.6329347,0.62468576,0.71361524,0.749439,0.5442927,0.6660454,0.55934316
2024-Q1,0.6114465,0.7415622,0.61451805,0.68722904,1.0,0.5870722,0.58929974,0.65842307,0.78574175,0.5180715,0.6017133,0.42145818
2024-Q2,0.5934106,0.71368366,0.70291877,0.6329347,0.5870722,0.9999999,0.592487,0.6131055,0.6106483,0.5943175,0.6600892,0.5239209
2024-Q3,0.6424001,0.6672476,0.7360753,0.62468576,0.58929974,0.592487,1.0,0.66360104,0.69750506,0.6224794,0.6425876,0.4288184
2024-Q4,0.6072396,0.704513,0.663904,0.71361524,0.65842307,0.6131055,0.66360104,0.9999998,0.7574722,0.68254375,0.6393633,0.59921336
2025-Q1,0.6606658,0.7549184,0.6554378,0.749439,0.78574175,0.6106483,0.69750506,0.7574722,1.0000001,0.6606085,0.66277736,0.49954098
2025-Q2,0.51573014,0.60895437,0.6080425,0.5442927,0.5180715,0.5943175,0.6224794,0.68254375,0.6606085,1.0,0.5685157,0.4893694
2025-Q3,0.60310835,0.672072,0.6971875,0.6660454,0.6017133,0.6600892,0.6425876,0.6393633,0.66277736,0.5685157,1.0000002,0.53625596
2025-Q4,0.41867304,0.4823147,0.4740474,0.55934316,0.42145818,0.5239209,0.4288184,0.59921336,0.49954098,0.4893694,0.53625596,0.9999999
