claim_id,fraud_risk_score,verification_score,template_match_count,ring_match_count,recommended_action
CLM001,90.89,0.1821472668914981,1,2,Manual Investigation
CLM002,67.44,0.3512122393840929,1,1,Manual Investigation
CLM003,74.4,0.111989846886971,0,2,Manual Investigation
CLM004,67.44,0.3512122393840929,1,1,Manual Investigation
CLM005,60.0,1.0,3,0,Manual Investigation
CLM006,45.16,0.4967261101968238,1,0,Manual Investigation
CLM007,159.76,0.2047327677472691,3,4,Manual Investigation
CLM008,89.33,0.2134007206203658,1,2,Manual Investigation
CLM009,109.71,0.1058722311927585,1,3,Manual Investigation
CLM010,105.0,1.0,3,3,Manual Investigation
CLM011,54.18,0.316327691881024,1,0,Manual Investigation
CLM012,32.78,0.7443736415564134,1,0,Manual Investigation
CLM013,69.36,0.0128784847623985,1,0,Manual Investigation
CLM014,70.0,0.0,1,0,Manual Investigation
CLM015,60.0,1.0,3,0,Manual Investigation
